questionText,options,layout,type,questionWidth,responseWidth
Is talkative,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Tends to find fault in others,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Does a thorough job,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
"Is depressed, blue","Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
"Is original, comes up with new ideas","Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Is reserved,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Is helpful and unselfish with others,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Can be somewhat careless,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
"Is relaxed, handles stress well","Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Is curious about many different things,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Is full of energy,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Starts quarrels with others,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Is a reliable worker,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Can be tense,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
"Is ingenious, a deep thinker","Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Generates a lot of enthusiasm,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Has a forgiving nature,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Tends to be organised,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Worries a lot,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Has an active imagination,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Tends to be quiet,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Is generally trusting,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Tends to be lazy,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
"Is emotionally stable, not easily upset","Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Is inventive,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Has an assertive personality,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Can be cold and aloof,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Perserveres until the task is finished,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Can be moody,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
"Values artistic, aesthetic experiences","Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
"Is sometimes shy, inhibited","Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Is considerate and kind to almost everyone,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Does things efficiently,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Remains calm in tense situations,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Prefers work that is routine,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
"Is outgoing, sociable","Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Is sometimes rude to others,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Makes plans and follows through with them,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Gets nervous easily,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
"Likes to reflect, play with ideas","Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Has few artistic interests,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Likes to cooperate with others,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
Is easily distracted,"Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
"Is sophisticated in art, music, or literature","Disagree strongly, disagree a little, Neither agree nor disagree, Agree a little, Agree strongly",horiz,radio,0.6,0.4
