left_im,right_im,leftori,rightori,same,corrAns,angle
F.png,F.png,0,0,n,n,0
F.png,FR.png,0,0,y,m,0
F.png,F.png,0,45,n,n,45
F.png,FR.png,0,45,y,m,45
F.png,F.png,0,90,n,n,90
F.png,FR.png,0,90,y,m,90
F.png,F.png,0,135,n,n,135
F.png,FR.png,0,135,y,m,135
F.png,F.png,0,180,n,n,180
F.png,FR.png,0,180,y,m,180
F.png,F.png,0,225,n,n,225
F.png,FR.png,0,225,y,m,225
F.png,F.png,0,270,n,n,270
F.png,FR.png,0,270,y,m,270
F.png,F.png,0,315,n,n,315
F.png,FR.png,0,315,y,m,315
FR.png,FR.png,0,0,n,n,0
FR.png,F.png,0,0,y,m,0
FR.png,FR.png,0,45,n,n,45
FR.png,F.png,0,45,y,m,45
FR.png,FR.png,0,90,n,n,90
FR.png,F.png,0,90,y,m,90
FR.png,FR.png,0,135,n,n,135
FR.png,F.png,0,135,y,m,135
FR.png,FR.png,0,180,n,n,180
FR.png,F.png,0,180,y,m,180
FR.png,FR.png,0,225,n,n,225
FR.png,F.png,0,225,y,m,225
FR.png,FR.png,0,270,n,n,270
FR.png,F.png,0,270,y,m,270
FR.png,FR.png,0,315,n,n,315
FR.png,F.png,0,315,y,m,315
