word,condition,key,color
Creative,creative,i,skyblue
Novel,creative,i,skyblue
Inventive,creative,i,skyblue
Newfangled,creative,i,skyblue
Original,creative,i,skyblue
Different,creative,i,skyblue
Practical,practical,e,skyblue
Applied,practical,e,skyblue
Useful,practical,e,skyblue
Functional,practical,e,skyblue
Efficient,practical,e,skyblue
Constructive,practical,e,skyblue
Rainbow,good,i,limegreen
Cake,good,i,limegreen
Sunshine,good,i,limegreen
Laughter,good,i,limegreen
Peace,good,i,limegreen
Heaven,good,i,limegreen
Agony,bad,e,limegreen
Hell,bad,e,limegreen
Ugly,bad,e,limegreen
Vomit,bad,e,limegreen
Poison,bad,e,limegreen
Rotten,bad,e,limegreen
