time	tx_time	frame_num	pupil_x	pupil_y	pupil_area	status	delay
288252.121283	288252.123277	136	401.152542373	203.059322034	236.0	0	0.0021558534936
288252.153156	288252.154373	137	401.172839506	203.020576132	243.0	0	0.00136438786285
288252.185127	288252.195472	138	401.181818182	202.94214876	242.0	0	0.0104952214751
288252.217038	288252.218207	139	401.10460251	203.0041841	239.0	0	0.00131065753521
288252.249041	288252.250234	140	401.073469388	203.032653061	245.0	0	0.00133269297658
288252.281039	288252.282214	141	401.175	202.958333333	240.0	0	0.00132695771754
288252.313167	288252.32034	142	401.175732218	203.079497908	239.0	0	0.00735350715695
288252.345096	288252.346332	143	401.10373444	203.012448133	241.0	0	0.00143411650788
288252.377014	288252.378278	144	401.179916318	202.945606695	239.0	0	0.00141087366501
288252.40905	288252.410257	145	401.231092437	202.966386555	238.0	0	0.00135412474629
288252.441032	288252.4453	146	401.226337449	202.967078189	243.0	0	0.00441131950356
288252.473016	288252.476315	147	401.179487179	203.055555556	234.0	0	0.00344326818595
288252.521007	288252.523297	148	401.29338843	203.140495868	242.0	0	0.00243265525205
288252.553021	288252.554242	149	401.087136929	203.070539419	241.0	0	0.0014033272746
288252.585079	288252.586258	150	401.165975104	202.966804979	241.0	0	0.00131790206069
288252.61715	288252.618288	151	401.268907563	203.130252101	238.0	0	0.00127986824373
288252.649051	288252.650227	152	401.212765957	203.042553191	235.0	0	0.00134416349465
288252.681079	288252.682268	153	401.211382114	203.008130081	246.0	0	0.00134869135218
288252.71308	288252.714252	154	401.406639004	203.058091286	241.0	0	0.00131246866658
288252.744981	288252.75744	155	401.217573222	203.117154812	239.0	0	0.0126036836882
288252.776967	288252.778228	156	400.954166667	202.941666667	240.0	0	0.00138974376023
288252.809057	288252.810229	157	401.025531915	202.90212766	235.0	0	0.00136619899422
288252.841056	288252.842347	158	401.112970711	202.949790795	239.0	0	0.00145102047827
288252.87309	288252.882383	159	401.208333333	203.05	240.0	0	0.00945412105648
288252.921098	288252.922285	160	401.216666667	203.041666667	240.0	0	0.00134718208574
288252.95308	288252.960369	161	401.171548117	203.012552301	239.0	0	0.00745553435991
288252.985041	288252.986218	162	401.095435685	203.049792531	241.0	0	0.00132605218096
288253.016945	288253.018304	163	401.10041841	203.0041841	239.0	0	0.00149810989387
288253.04896	288253.050236	164	401.141666667	202.925	240.0	0	0.00144890742376
288253.081209	288253.084346	165	401.3375	202.925	240.0	0	0.00327392708277
288253.113063	288253.116467	166	401.255144033	202.942386831	243.0	0	0.00355103064794
288253.145073	288253.146297	167	401.195833333	203.083333333	240.0	0	0.00140061049024
288253.17708	288253.178247	168	401.020833333	203.058333333	240.0	0	0.00131307239644
288253.209094	288253.210291	169	401.142857143	203.037815126	238.0	0	0.00133812642889
288253.241011	288253.242216	170	401.12605042	203.037815126	238.0	0	0.00135744514409
288253.272991	288253.274216	171	401.220833333	202.941666667	240.0	0	0.001375556516
288253.320938	288253.322291	172	401.220833333	203.0375	240.0	0	0.00150958047016
288253.352957	288253.354214	173	401.124463519	203.060085837	233.0	0	0.00139668642078
288253.385062	288253.396494	174	401.106837607	203.055555556	234.0	0	0.0116048430791
288253.417094	288253.418256	175	401.041841004	202.958158996	239.0	0	0.00131035567028
288253.449057	288253.450251	176	401.185950413	202.979338843	242.0	0	0.00134386162972
288253.481022	288253.482221	177	401.253061224	203.040816327	245.0	0	0.00133812637068
288253.513007	288253.521395	178	401.154166667	202.966666667	240.0	0	0.00854553538375
288253.544985	288253.552354	179	401.259414226	203.10460251	239.0	0	0.00755273189861
288253.576986	288253.57827	180	401.158995816	203.025104603	239.0	0	0.00141962739872
288253.608988	288253.610234	181	401.088983051	203.042372881	236.0	0	0.00138340471312
288253.641124	288253.646505	182	401.194915254	202.974576271	236.0	0	0.00552124297246
288253.673044	288253.677388	183	401.148305085	203.042372881	236.0	0	0.00449976319214
288253.721048	288253.724366	184	401.183333333	202.945833333	240.0	0	0.00347858533496
288253.753225	288253.755331	185	401.1625	202.975	240.0	0	0.00224942876957
288253.785014	288253.786262	186	401.045643154	203.074688797	241.0	0	0.00142989051528
288253.816932	288253.818361	187	401.128205128	202.931623932	234.0	0	0.00161190953804
288253.848976	288253.850327	188	401.033898305	203.021186441	236.0	0	0.00149116723333
288253.881402	288253.883327	189	401.155462185	202.932773109	238.0	0	0.00206740980502
288253.912982	288253.914247	190	401.09623431	203.087866109	239.0	0	0.00140906253364
288253.945042	288253.946301	191	401.213389121	202.991631799	239.0	0	0.00140725134406
288253.977058	288253.978246	192	401.06302521	202.978991597	238.0	0	0.00134023942519
288254.009086	288254.010483	193	401.169421488	202.847107438	242.0	0	0.00153644557577
288254.041048	288254.042258	194	401.144680851	203.008510638	235.0	0	0.0013692175271
288254.072996	288254.074243	195	401.275720165	202.802469136	243.0	0	0.00139215862146
288254.120994	288254.122263	196	401.241666667	203.0125	240.0	0	0.00140483654104
288254.153018	288254.161403	197	401.241525424	202.978813559	236.0	0	0.00847610854544
288254.185022	288254.192504	198	401.234309623	202.979079498	239.0	0	0.00769430224318
288254.216957	288254.218294	199	401.088983051	202.966101695	236.0	0	0.00149418582441
288254.249261	288254.251309	200	401.113924051	202.949367089	237.0	0	0.00217547419015
288254.281048	288254.286422	201	401.322175732	202.924686192	239.0	0	0.00554478768026
288254.313052	288254.317294	202	401.216101695	202.889830508	236.0	0	0.0043904914055
288254.345049	288254.348332	203	401.18907563	202.882352941	238.0	0	0.0034224401461
288254.377204	288254.378534	204	401.11814346	202.911392405	237.0	0	0.00146550952923
288254.409005	288254.410811	205	401.175510204	202.893877551	245.0	0	0.00195270462427
288254.441053	288254.442301	206	401.175213675	202.935897436	234.0	0	0.0013936678879
288254.473114	288254.474304	207	401.263598326	203.058577406	239.0	0	0.0013073370792
288254.521006	288254.522281	208	401.152263374	202.938271605	243.0	0	0.00141449586954
288254.552985	288254.554326	209	401.241666667	202.945833333	240.0	0	0.00148965796689
288254.584912	288254.58635	210	401.129166667	202.95	240.0	0	0.001582629513
288254.61697	288254.62948	211	401.183673469	202.893877551	245.0	0	0.0126957496977
288254.648935	288254.650399	212	401.11814346	202.945147679	237.0	0	0.00160375941778
288254.680994	288254.682285	213	401.18220339	202.961864407	236.0	0	0.00143170170486
288254.71306	288254.714269	214	401.275720165	202.87654321	243.0	0	0.00134718208574
288254.745006	288254.754603	215	401.175213675	202.935897436	234.0	0	0.00975144898985
288254.777031	288254.778288	216	401.163179916	202.958158996	239.0	0	0.0013991012238
288254.809006	288254.810316	217	401.17721519	203.004219409	237.0	0	0.001474867051
288254.841042	288254.842303	218	401.042016807	202.911764706	238.0	0	0.00140755320899
288254.873031	288254.878483	219	401.091666667	202.958333333	240.0	0	0.00561783678131
288254.920958	288254.922434	220	401.106382979	203.004255319	235.0	0	0.00161673920229
288254.953005	288254.956449	221	401.170124481	203.062240664	241.0	0	0.00363162613939
288254.984972	288254.988432	222	401.0875	203.054166667	240.0	0	0.00363736145664
288255.017017	288255.018331	223	401.255319149	203.0	235.0	0	0.00146249093814
288255.048959	288255.050363	224	401.128205128	203.021367521	234.0	0	0.00154489756096
288255.081059	288255.082296	225	401.247863248	202.91025641	234.0	0	0.00137917877873
288255.113161	288255.114314	226	401.240343348	202.969957082	233.0	0	0.00129616848426
288255.14503	288255.146347	227	401.354166667	202.916666667	240.0	0	0.00146913179196
288255.177037	288255.178324	228	401.017021277	203.004255319	235.0	0	0.00143230537651
288255.208952	288255.222522	229	401.0875	202.958333333	240.0	0	0.0137190405512
288255.241012	288255.242348	230	401.126086957	202.995652174	230.0	0	0.00148030044511
288255.274044	288255.275332	231	401.331914894	202.944680851	235.0	0	0.00144890748197
288255.320906	288255.322403	232	401.228813559	203.076271186	236.0	0	0.0016402839683
288255.353007	288255.354412	233	401.174468085	202.995744681	235.0	0	0.00155516067753
288255.384903	288255.386411	234	401.210300429	203.017167382	233.0	0	0.00165235821623
288255.417053	288255.424409	235	401.127659574	203.017021277	235.0	0	0.00749024777906
288255.448982	288255.450453	236	401.181434599	202.949367089	237.0	0	0.00161251320969
288255.480926	288255.48245	237	400.978632479	203.034188034	234.0	0	0.00167529919418
288255.513065	288255.514327	238	401.219409283	203.016877637	237.0	0	0.00141660886584
288255.545023	288255.549498	239	401.210970464	203.021097046	237.0	0	0.00462382589467
288255.576982	288255.580402	240	401.192468619	203.062761506	239.0	0	0.00356944382656
288255.608963	288255.610344	241	401.138655462	203.079831933	238.0	0	0.00152618251741
288255.640988	288255.64232	242	401.079497908	202.861924686	239.0	0	0.00148784683552
288255.672992	288255.674386	243	401.144067797	202.936440678	236.0	0	0.00154610496247
288255.721003	288255.723311	244	401.135021097	202.978902954	237.0	0	0.00244503130671
288255.752969	288255.754421	245	401.272340426	202.957446809	235.0	0	0.00161734293215
288255.784998	288255.786405	246	401.161702128	202.859574468	235.0	0	0.00155636807904
288255.81699	288255.818435	247	401.161016949	203.050847458	236.0	0	0.00158232764807
288255.848988	288255.861563	248	401.122881356	202.974576271	236.0	0	0.0127217092668
288255.880922	288255.882445	249	401.088983051	203.046610169	236.0	0	0.00166201760294
288255.912891	288255.914321	250	401.113924051	202.974683544	237.0	0	0.00155576440739
288255.945043	288255.946377	251	401.068085106	202.893617021	235.0	0	0.00148331897799
288255.976994	288255.986429	252	401.159482759	202.987068966	232.0	0	0.00957788195228
288256.008933	288256.010398	253	401.119148936	203.059574468	235.0	0	0.00160979654174
288256.040987	288256.042474	254	401.15	203.016666667	240.0	0	0.00162519118749
288256.073019	288256.074406	255	401.068669528	203.008583691	233.0	0	0.00152889924357
288256.12098	288256.122452	256	401.209401709	203.051282051	234.0	0	0.00161311699776
288256.152907	288256.158598	257	401.105932203	202.983050847	236.0	0	0.00583607843146
288256.18499	288256.189503	258	401.204166667	203.070833333	240.0	0	0.00467393395957
288256.216998	288256.218441	259	401.330508475	202.877118644	236.0	0	0.00158444064436
288256.248982	288256.250444	260	401.176470588	203.016806723	238.0	0	0.00168012891663
288256.280985	288256.28241	261	401.139240506	202.957805907	237.0	0	0.00156964972848
288256.313	288256.314401	262	401.145299145	202.995726496	234.0	0	0.00154821801698
288256.34497	288256.346502	263	401.245833333	203.008333333	240.0	0	0.00168465677416
288256.377141	288256.378334	264	401.286324786	202.991452991	234.0	0	0.00131578906439
288256.408985	288256.410551	265	401.334745763	203.084745763	236.0	0	0.00171484233579
288256.441054	288256.442365	266	401.063291139	203.004219409	237.0	0	0.00145524641266
288256.47304	288256.474444	267	401.104347826	202.913043478	230.0	0	0.0015548588126
288256.521061	288256.522449	268	401.063291139	203.004219409	237.0	0	0.00153523817426
288256.552965	288256.554475	269	401.113924051	202.911392405	237.0	0	0.00167107325979
288256.585158	288256.594536	270	401.132478632	203.068376068	234.0	0	0.0095289812889
288256.616884	288256.625601	271	401.126582278	203.037974684	237.0	0	0.00887486001011
288256.648938	288256.650466	272	401.228813559	203.021186441	236.0	0	0.00166443240596
288256.681009	288256.68244	273	401.046610169	203.131355932	236.0	0	0.00157115899492
288256.713166	288256.719599	274	401.064935065	203.021645022	231.0	0	0.0065771342488
288256.745011	288256.750632	275	401.145922747	202.991416309	233.0	0	0.00576001079753
288256.776915	288256.778461	276	401.269230769	203.081196581	234.0	0	0.00168918457348
288256.80891	288256.810441	277	401.268398268	203.069264069	231.0	0	0.00168284564279
288256.840957	288256.844387	278	401.091304348	202.934782609	230.0	0	0.0035558603704
288256.872987	288256.875442	279	401.169491525	203.004237288	236.0	0	0.00258720532293
288256.921035	288256.922439	280	401.047413793	202.978448276	232.0	0	0.00167499738745
288256.953085	288256.954496	281	401.029411765	203.0	238.0	0	0.00157417758601
288256.984904	288256.986408	282	401.187234043	202.931914894	235.0	0	0.00163968023844
288257.01692	288257.031678	283	401.234042553	203.068085106	235.0	0	0.0148977871286
288257.049057	288257.050392	284	401.204255319	202.957446809	235.0	0	0.00147335778456
