code,linebreak
0,CM
1,CM
2,CM
3,CM
4,CM
5,CM
6,CM
7,CM
8,CM
9,BA
10,LF
11,BK
12,BK
13,CR
14,CM
15,CM
16,CM
17,CM
18,CM
19,CM
20,CM
21,CM
22,CM
23,CM
24,CM
25,CM
26,CM
27,CM
28,CM
29,CM
30,CM
31,CM
32,SP
33,EX
34,QU
35,AL
36,PR
37,PO
38,AL
39,QU
40,OP
41,CP
42,AL
43,PR
44,IS
45,HY
46,IS
47,SY
48,NU
49,NU
50,NU
51,NU
52,NU
53,NU
54,NU
55,NU
56,NU
57,NU
58,IS
59,IS
60,AL
61,AL
62,AL
63,EX
64,AL
65,AL
66,AL
67,AL
68,AL
69,AL
70,AL
71,AL
72,AL
73,AL
74,AL
75,AL
76,AL
77,AL
78,AL
79,AL
80,AL
81,AL
82,AL
83,AL
84,AL
85,AL
86,AL
87,AL
88,AL
89,AL
90,AL
91,OP
92,PR
93,CP
94,AL
95,AL
96,AL
97,AL
98,AL
99,AL
100,AL
101,AL
102,AL
103,AL
104,AL
105,AL
106,AL
107,AL
108,AL
109,AL
110,AL
111,AL
112,AL
113,AL
114,AL
115,AL
116,AL
117,AL
118,AL
119,AL
120,AL
121,AL
122,AL
123,OP
124,BA
125,CL
126,AL
127,CM
128,CM
129,CM
130,CM
131,CM
132,CM
133,NL
134,CM
135,CM
136,CM
137,CM
138,CM
139,CM
140,CM
141,CM
142,CM
143,CM
144,CM
145,CM
146,CM
147,CM
148,CM
149,CM
150,CM
151,CM
152,CM
153,CM
154,CM
155,CM
156,CM
157,CM
158,CM
159,CM
160,GL
161,OP
162,PO
163,PR
164,PR
165,PR
166,AL
167,AI
168,AI
169,AL
170,AI
171,QU
172,AL
173,BA
174,AL
175,AL
176,PO
177,PR
178,AI
179,AI
180,BB
181,AL
182,AI
183,AI
184,AI
185,AI
186,AI
187,QU
188,AI
189,AI
190,AI
191,OP
192,AL
193,AL
194,AL
195,AL
196,AL
197,AL
198,AL
199,AL
200,AL
201,AL
202,AL
203,AL
204,AL
205,AL
206,AL
207,AL
208,AL
209,AL
210,AL
211,AL
212,AL
213,AL
214,AL
215,AI
216,AL
217,AL
218,AL
219,AL
220,AL
221,AL
222,AL
223,AL
224,AL
225,AL
226,AL
227,AL
228,AL
229,AL
230,AL
231,AL
232,AL
233,AL
234,AL
235,AL
236,AL
237,AL
238,AL
239,AL
240,AL
241,AL
242,AL
243,AL
244,AL
245,AL
246,AL
247,AI
248,AL
249,AL
250,AL
251,AL
252,AL
253,AL
254,AL
255,AL
256,AL
257,AL
258,AL
259,AL
260,AL
261,AL
262,AL
263,AL
264,AL
265,AL
266,AL
267,AL
268,AL
269,AL
270,AL
271,AL
272,AL
273,AL
274,AL
275,AL
276,AL
277,AL
278,AL
279,AL
280,AL
281,AL
282,AL
283,AL
284,AL
285,AL
286,AL
287,AL
288,AL
289,AL
290,AL
291,AL
292,AL
293,AL
294,AL
295,AL
296,AL
297,AL
298,AL
299,AL
300,AL
301,AL
302,AL
303,AL
304,AL
305,AL
306,AL
307,AL
308,AL
309,AL
310,AL
311,AL
312,AL
313,AL
314,AL
315,AL
316,AL
317,AL
318,AL
319,AL
320,AL
321,AL
322,AL
323,AL
324,AL
325,AL
326,AL
327,AL
328,AL
329,AL
330,AL
331,AL
332,AL
333,AL
334,AL
335,AL
336,AL
337,AL
338,AL
339,AL
340,AL
341,AL
342,AL
343,AL
344,AL
345,AL
346,AL
347,AL
348,AL
349,AL
350,AL
351,AL
352,AL
353,AL
354,AL
355,AL
356,AL
357,AL
358,AL
359,AL
360,AL
361,AL
362,AL
363,AL
364,AL
365,AL
366,AL
367,AL
368,AL
369,AL
370,AL
371,AL
372,AL
373,AL
374,AL
375,AL
376,AL
377,AL
378,AL
379,AL
380,AL
381,AL
382,AL
383,AL
384,AL
385,AL
386,AL
387,AL
388,AL
389,AL
390,AL
391,AL
392,AL
393,AL
394,AL
395,AL
396,AL
397,AL
398,AL
399,AL
400,AL
401,AL
402,AL
403,AL
404,AL
405,AL
406,AL
407,AL
408,AL
409,AL
410,AL
411,AL
412,AL
413,AL
414,AL
415,AL
416,AL
417,AL
418,AL
419,AL
420,AL
421,AL
422,AL
423,AL
424,AL
425,AL
426,AL
427,AL
428,AL
429,AL
430,AL
431,AL
432,AL
433,AL
434,AL
435,AL
436,AL
437,AL
438,AL
439,AL
440,AL
441,AL
442,AL
443,AL
444,AL
445,AL
446,AL
447,AL
448,AL
449,AL
450,AL
451,AL
452,AL
453,AL
454,AL
455,AL
456,AL
457,AL
458,AL
459,AL
460,AL
461,AL
462,AL
463,AL
464,AL
465,AL
466,AL
467,AL
468,AL
469,AL
470,AL
471,AL
472,AL
473,AL
474,AL
475,AL
476,AL
477,AL
478,AL
479,AL
480,AL
481,AL
482,AL
483,AL
484,AL
485,AL
486,AL
487,AL
488,AL
489,AL
490,AL
491,AL
492,AL
493,AL
494,AL
495,AL
496,AL
497,AL
498,AL
499,AL
500,AL
501,AL
502,AL
503,AL
504,AL
